Resort Name,User Rating,Beginner,Intermediate,Advanced,Expert,Open Acreage
"Elk Mountain Ski Resort Pennsylvania, USALast Updated: 03/25Compare",3.3114 Reviews,22%,37%,41%,0%,N/A
"Elko SnoBowl Nevada, USALast Updated: 04/17Compare",2.23 Reviews,8%,90%,1%,1%,N/A
"Elm Creek Winter Recreation Area Minnesota, USALast Updated: 03/15Compare",3.32 Reviews,20%,60%,0%,20%,N/A
"Enchanted Forest Ski Area New Mexico, USALast Updated: 03/28Compare",2.86 Reviews,30%,50%,2%,18%,N/A
"Four Lakes Illinois, USALast Updated: 03/10Compare",2.915 Reviews,40%,30%,30%,0%,N/A
"Giants Ridge Resort Minnesota, USALast Updated: 04/05Compare",3.011 Reviews,30%,50%,20%,0%,190ac
"Gore Mountain New York, USALast Updated: 04/10Compare",3.382 Reviews,10%,50%,35%,5%,N/A
"Grand Geneva Wisconsin, USALast Updated: 03/15Compare",2.315 Reviews,40%,30%,20%,10%,N/A
"Grand Targhee Resort Wyoming, USALast Updated: 04/14Compare",3.766 Reviews,33%,37%,25%,5%,0ac
"Granite Peak Ski Area Wisconsin, USALast Updated: 04/05Compare",3.2106 Reviews,24%,24%,45%,7%,145ac
"Great Divide Montana, USALast Updated: 04/21Compare",3.126 Reviews,10%,45%,45%,0%,0ac
"Greek Peak New York, USALast Updated: 04/08Compare",3.154 Reviews,36%,29%,27%,9%,N/A
"Gunstock New Hampshire, USALast Updated: 04/04Compare",3.136 Reviews,15%,52%,31%,2%,111ac
"Heavenly California, USALast Updated: 04/19Compare",3.5156 Reviews,8%,62%,25%,5%,N/A
"Hidden Valley Ski Area Missouri, USALast Updated: 03/10Compare",3.028 Reviews,40%,47%,13%,0%,N/A
"Hilltop Ski Area Alaska, USALast Updated: 04/21Compare",3.06 Reviews,80%,10%,0%,10%,0ac
"Hogadon Basin Wyoming, USALast Updated: 04/07Compare",3.014 Reviews,7%,29%,39%,25%,92ac
"Holiday Mountain New York, USALast Updated: 03/25Compare",2.77 Reviews,30%,27%,31%,12%,N/A
"Holiday Valley New York, USALast Updated: 03/26Compare",3.369 Reviews,37%,25%,37%,2%,12ac
"Holimont Ski Area New York, USALast Updated: 04/13Compare",3.112 Reviews,25%,31%,44%,0%,69ac
"Homewood Mountain Resort California, USALast Updated: 04/14Compare",3.244 Reviews,13%,46%,36%,5%,0ac
